YEAR,MO,DY,HR,WS2M,RH2M,T2M
2016,1,23,12,5.49,57.94,15.23
2016,1,23,13,5.48,53.69,15.43
2016,1,23,14,5.6,52.88,15.25
2016,1,23,15,5.87,55.44,14.7
2016,1,23,16,5.7,63.62,13.41
2016,1,23,17,5.67,75.25,11.66
2016,1,23,18,5.83,80.56,11.15
2016,1,23,19,5.49,85.19,10.65
2016,1,23,20,5.31,86.69,10.4
2016,1,23,21,5.03,87.44,10.15
2016,1,23,22,5.23,86.75,10.08
2016,1,23,23,5.03,87.75,9.82
2016,1,24,0,4.83,88.25,9.56
2016,1,24,1,4.64,87.94,9.35
2016,1,24,2,4.61,88.12,9.12
2016,1,24,3,4.44,89.5,8.78
2016,1,24,4,4.48,89.56,8.68
2016,1,24,5,4.47,89.56,8.56
2016,1,24,6,4.56,89.12,8.46
2016,1,24,7,5.02,85.81,9.09
2016,1,24,8,5.62,78.62,10.43
2016,1,24,9,5.73,70.19,11.77
2016,1,24,10,5.29,61.56,13.2
2016,1,24,11,4.67,55.19,14.32
2016,1,24,12,4.41,53.19,14.92
2016,1,24,13,4.51,53.62,15.18
2016,1,24,14,4.36,54.88,15.0
2016,1,24,15,3.67,57.75,14.4
2016,1,24,16,3.22,66.44,13.19
2016,1,24,17,3.97,76.81,11.23
2016,1,24,18,4.37,82.88,10.42
2016,1,24,19,4.2,85.5,9.87
2016,1,24,20,4.05,85.81,9.55
2016,1,24,21,4.41,83.81,9.59
2016,1,24,22,4.67,82.69,9.48
2016,1,24,23,4.63,83.75,9.05
2016,1,25,0,4.6,83.88,8.91
2016,1,25,1,4.65,84.25,8.88
2016,1,25,2,5.07,84.0,9.03
2016,1,25,3,5.31,83.31,9.19
2016,1,25,4,5.25,83.56,9.12
2016,1,25,5,5.13,85.0,8.72
2016,1,25,6,5.2,85.0,8.56
2016,1,25,7,5.2,81.81,9.23
2016,1,25,8,4.98,73.56,10.89
2016,1,25,9,4.41,63.5,12.98
2016,1,25,10,3.44,56.25,15.07
2016,1,25,11,2.44,52.25,16.49
2016,1,25,12,2.32,47.94,17.3
2016,1,25,13,2.78,48.69,17.42
2016,1,25,14,3.22,49.69,17.22
2016,1,25,15,3.54,52.56,16.52
2016,1,25,16,3.49,62.19,14.73
2016,1,25,17,4.07,69.75,12.54
2016,1,25,18,4.63,74.12,11.46
2016,1,25,19,4.84,79.06,10.51
2016,1,25,20,5.12,82.31,10.0
2016,1,25,21,5.25,84.69,9.69
2016,1,25,22,5.69,83.25,9.81
