YEAR,MO,DY,HR,WS2M,RH2M,T2M
2016,1,22,19,1.87,98.31,10.69
2016,1,22,20,2.31,97.19,11.01
2016,1,22,21,2.29,97.12,11.08
2016,1,22,22,3.27,94.62,11.66
2016,1,22,23,3.33,95.0,11.55
2016,1,23,0,2.84,94.19,11.06
2016,1,23,1,2.23,94.25,10.31
2016,1,23,2,2.02,94.25,9.65
2016,1,23,3,2.08,94.19,9.22
2016,1,23,4,2.14,94.0,8.87
2016,1,23,5,1.91,94.31,8.38
2016,1,23,6,1.65,95.31,7.65
2016,1,23,7,1.75,95.0,7.9
2016,1,23,8,2.98,90.62,10.19
2016,1,23,9,3.79,86.94,11.22
2016,1,23,10,4.1,82.94,11.73
2016,1,23,11,3.77,83.5,11.5
2016,1,23,12,3.84,83.5,11.45
2016,1,23,13,3.83,82.31,11.43
2016,1,23,14,3.92,80.0,11.58
2016,1,23,15,3.61,81.19,11.16
2016,1,23,16,2.72,87.25,10.14
2016,1,23,17,1.89,94.75,8.3
2016,1,23,18,1.7,97.62,7.62
2016,1,23,19,1.49,100.0,7.0
2016,1,23,20,1.44,100.0,6.65
2016,1,23,21,1.41,100.0,6.45
2016,1,23,22,1.29,100.0,6.12
2016,1,23,23,1.23,100.0,5.67
2016,1,24,0,1.22,100.0,5.39
2016,1,24,1,1.22,100.0,5.2
2016,1,24,2,1.24,100.0,5.08
2016,1,24,3,1.23,100.0,4.89
2016,1,24,4,1.24,100.0,4.69
2016,1,24,5,1.28,100.0,4.57
2016,1,24,6,1.24,100.0,4.4
2016,1,24,7,1.09,100.0,5.12
2016,1,24,8,1.06,96.88,7.57
2016,1,24,9,1.51,94.06,8.73
2016,1,24,10,1.77,90.75,9.37
2016,1,24,11,1.58,86.25,9.93
2016,1,24,12,1.61,77.81,11.33
2016,1,24,13,1.94,68.88,12.47
2016,1,24,14,2.51,66.62,12.61
2016,1,24,15,2.64,70.31,11.83
2016,1,24,16,1.28,84.19,9.97
2016,1,24,17,0.97,91.94,7.46
2016,1,24,18,0.98,96.56,6.65
2016,1,24,19,1.04,100.0,6.07
2016,1,24,20,1.08,100.0,5.73
2016,1,24,21,1.07,100.0,5.65
2016,1,24,22,0.94,100.0,6.33
2016,1,24,23,0.86,100.0,6.99
2016,1,25,0,0.82,100.0,7.22
2016,1,25,1,0.85,100.0,7.13
2016,1,25,2,0.77,100.0,6.87
2016,1,25,3,0.7,100.0,7.21
2016,1,25,4,0.61,99.31,7.75
2016,1,25,5,0.53,98.81,7.7
2016,1,25,6,0.63,99.19,7.41
2016,1,25,7,0.71,100.0,7.11
2016,1,25,8,0.89,94.62,8.98
2016,1,25,9,1.39,86.94,10.97
2016,1,25,10,1.85,80.19,12.77
2016,1,25,11,2.18,75.12,14.06
2016,1,25,12,2.33,73.12,14.65
2016,1,25,13,2.37,72.38,14.82
2016,1,25,14,2.33,72.81,14.68
2016,1,25,15,2.13,75.88,14.01
2016,1,25,16,1.08,88.5,12.09
2016,1,25,17,0.97,97.38,9.16
2016,1,25,18,0.98,100.0,8.55
2016,1,25,19,0.99,100.0,8.3
2016,1,25,20,0.94,100.0,8.28
2016,1,25,21,0.94,100.0,8.12
2016,1,25,22,1.01,100.0,7.69
2016,1,25,23,0.95,100.0,7.34
2016,1,26,0,0.83,100.0,7.06
2016,1,26,1,0.73,100.0,7.74
2016,1,26,2,0.44,100.0,7.82
2016,1,26,3,0.26,100.0,7.62
2016,1,26,4,0.58,100.0,7.08
2016,1,26,5,0.68,100.0,5.92
2016,1,26,6,0.7,100.0,5.61
2016,1,26,7,0.58,100.0,6.07
